# City coordinates for WeatherIQ (GeoNames cities1000, India)
# Format: city,latitude,longitude
# Source: https://download.geonames.org/export/dump/cities1000.zip (CC BY 4.0)
city,latitude,longitude
Ambaliyasan,23.449860,72.423330
Amballur,10.434310,76.263410
Ambara,22.190220,78.670790
Ambarnath,19.200000,73.166670
Ambasa,23.936000,91.854360
Ambasamudram,8.710680,77.451900
Ambattur,13.098180,80.161520
Ambepur,18.688260,72.985530
Ambicapur Pt VI,24.782620,92.789190
Ambicapur Pt VIII,24.820880,92.775430
Ambikanagar,15.127230,74.656990
Ambikapur,23.118920,83.195370
Ambikapur Part-X,24.799250,92.791960
Ambikapuram,10.793850,76.653030
Ambivali T. Tungartan,18.897750,73.172910
Amboli,21.288510,72.950620
Ambur,12.791630,78.716440
Amet,25.306090,73.925800
Amethi_Uttar_Pradesh,26.156960,81.805190
Amgaon,21.371960,80.384460
Amguri,26.814820,94.526140
Amingaon,26.184910,91.678600
Amingarh,16.056620,75.947730
Amini,11.114080,72.719070
Aminpur,17.524200,78.322730
Amkhera,23.213340,79.933360
Amla,21.924850,78.127860
Amlabad,23.686960,86.376640
Amlagora,22.846160,87.335590
Amlai,23.198380,81.580640
Amli,20.283330,73.016670
Amloh,30.608370,76.231990
Ammainaickanur,10.167070,77.913180
Ammanur,13.065050,79.653030
Ammapattinam,10.015340,79.231370
Ammapettai_Tamil_Nadu,10.794760,79.319860
Ammavarikuppam,13.177940,79.412780
Ammur,12.975000,79.362790
Amod,21.993170,72.870470
Ampati,25.462300,89.933250
Amrala,28.779980,77.608740
Amravati,20.933330,77.750000
Amreli,21.599830,71.211690
Amritsar,31.622340,74.875340
Amroha,28.903140,78.469840
Amroli,21.250840,72.838780
Amta,22.583440,88.010390
Amudalavalasa,18.410250,83.902950
Amur,18.792840,78.276660
Anaimalai,10.583030,76.934410
Anaiyur,9.961520,78.111800
Anakapalle,17.691340,83.003950
Anakaputhur,12.982800,80.126400
Anand,22.552510,72.955200
Anand Nagar,26.224050,90.226550
Anandanagar,23.808700,91.312990
Anandnagar,27.100620,83.271560
Anandpar,22.322000,70.845560
Anandpur_Odisha,21.214110,86.124920
Anandpur_Punjab,31.239260,76.502530
Anantapur,14.677840,77.608130
Anantapuram,12.118610,79.382200
Anantnag,33.730680,75.154180
Anantpur,19.932890,75.012350
Ancharakandy,11.884100,75.485010
Andada,21.655880,73.021510
Andipalayam,11.092460,77.312250
Andippatti,9.997970,77.620970
Andol,17.814580,78.077130
Andro,24.748540,94.042960
Andrott,10.811860,73.674080
Anekal,12.711100,77.695570
Angamali,10.190550,76.387890
Angul,20.840890,85.101920
Anini,28.797920,95.902280
Anjad,22.041710,75.055190
Anjangaon,21.165160,77.309100
Anjani Budruk,20.172160,76.647770
Anjani Khurd,20.066880,76.478550
Anjanvel,17.551040,73.145670
Anjar,23.113160,70.026710
Anjira,20.826440,86.033530
Anjugramam,8.154370,77.578070
Anjuna,15.580050,73.744870
Anjur,10.591690,76.154490
Anklav,22.377380,73.000720
Ankleshwar,21.632360,72.990010
Anklesvar INA,21.616750,73.027590
Ankola,14.660490,74.304700
Annal Agraharam,10.948540,79.368260
Annamalainagar,11.400000,79.733330
Annavasal,10.460600,78.700290
Annigeri,15.425130,75.433500
Annur,11.236160,77.105140
Anshing,20.040900,77.315010
Ant_Uttar_Pradesh,27.443150,80.468650
Anta,25.150000,76.300000
Antagarh,20.092560,81.158600
Antaliya,20.765320,72.990660
Antarjal,23.054450,70.083060
Anthicad,10.458380,76.121480
Anthiyur,11.575060,77.590430
Antri,26.058040,78.210270
Antu,26.056540,81.902670
Anupgarh,29.191110,73.208610
Anuppanadi,9.903960,78.143260
Anuppankulam,9.419410,77.843030
Anuppur,23.103440,81.690830
Anupshahr,28.357480,78.269140
Anwaram,17.632970,78.379530
Anwari,25.153240,83.622950
Aonla,28.274020,79.165210
Appukkudal,11.468450,77.576640
Apra,31.086280,75.879070
Apta,18.854130,73.129630
Aquem,15.258360,73.985670
Ara,23.760410,85.541500
Arachchalur,11.162700,77.700720
Arakandanallur,11.972020,79.222760
Arakkonam,13.084490,79.670530
Aralgoria,23.751940,86.364280
Arambagh,22.883330,87.783330
Arambol,15.686810,73.704490
Aramboli,8.249620,77.521610
Arang,21.196390,81.969120
